years,director,category,number,name,awards,awards,awards,awards,awards,awards,awards,,,
2015,曾威量,短片?,,禁止下錨,2016柏林國際影展-奧迪最佳短片獎,,,,,,,,,
2015,江豐宏,愛情喜劇,73萬(台北),缺角一族,2016第11屆日本大阪亞洲電影節-最佳演員獎,2016第49屆休士頓國際影展-喜劇片金牌獎,,,,,,,,
2015,許承傑,短片,,龍蝦小孩,2016第32屆洛杉磯亞太影展-金軸獎,,,,,,,,,
2016,劉易,短片,,乒乓,2016第16屆紐約翠貝卡影展-學生遠貝獎,,,,,,,,,
2014,陳潔瑤,劇情片,750萬              198萬(台北),只要我長大,第46屆義大利Giffoni影展-CIAL Prize for environment特別獎,,,,,,,,,
,趙德胤,劇情片,,再見瓦城,2016年第73屆威尼斯影展-威尼斯日「歐洲和地中海影評人聯合會」最佳影片獎,,,,,,,,,
2014,錢翔,劇情片 愛情片?,58萬,迴光奏鳴曲,2015法國費索爾亞洲國際影展-國際評審團大獎,2015法國費索爾亞洲國際影展-影評人獎,2015法國費索爾亞洲國際影展-女主角(陳湘琪)特別獎,,,,,,,
,,,74萬,相愛的七種設計,休士頓國際影展-最佳影片獎,,,,,,,,,
2014,侯孝賢,武俠愛情,"4,500萬",刺客 聶隱娘,2015法國坎城影展-最佳導演獎,2015法國坎城坎城影展會外-電影原聲帶獎,2015澳洲亞太電影獎-最佳攝影,,,,,,,
2013,楊南倩,劇情片,146萬(台幣),原來，你還在,韓國光州電影節-評審團獎,,,,,,,,,
2016,楊逸帆,紀錄片,53萬(台北),學習的理由,2015年亞美國際影展-青年觀點獎,,,,,,,,,
2014,侯季然,紀錄片,,書店裡的影像詩,2015關島國際電影節-最佳紀錄片短片評審團大獎,,,,,,,,,
2015,林書宇,劇情片,700萬(台北),百日告別,2015第19屆愛沙尼亞塔林黑夜國際電影節-天主教人道主義精神獎,2016第9屆阿姆斯特丹亞洲電影節-評審團獎,2016第9屆荷蘭亞洲影展-Tiger Beer評審團最佳影片獎,,,,,,,
2013,易智言,喜劇,410萬(台北),行動代號：孫中山,2015大阪亞洲電影節-最佳影片獎,2015大阪亞洲電影節-最佳觀眾票選獎,,,,,,,,
2016,林孝謙,喜劇、愛情,172萬(台北),五星級魚干女,2015關島國際電影節-最佳影片獎,,,,,,,,,
2015,于瑋珊,劇情片,59120(台北),小孩,夏威夷國際影展-最佳亞太電影獎,,,,,,,,,
2013,劉名?,音樂,2673萬,五月天諾亞方舟,2014美國洛杉磯3D創意藝術獎-國際現場大事件獎,,,,,,,,,
2013,馬志翔,劇情片,"1億1,595萬 / 3.4億",KANO,2014大阪電影節-大阪電影節觀眾獎,,,,,,,,,
2012,蕭力修,愛情喜劇,2000萬,阿嬤的夢中情人,2014大阪電影節-大阪電影節朝日電視ABC獎,,,,,,,,,
2013,齊柏林,紀錄片,2.2億,看見台灣,2014第47屆美國休士頓國際影展-評審團特別獎,2014第47屆美國休士頓國際影展-攝影金牌獎,,,,,,,,
2013,張作驥,劇情片,298萬(台北),暑假作業,2014第47屆美國休士頓國際影展-家庭倫理獎,2014首爾Guro兒童國際影展-最佳劇情片獎,,,,,,,,
2013,趙德胤,劇情片,123萬,冰毒,2014英國愛丁堡影展-最佳國際劇情片獎,2014瑞典「和平與愛影展」-最佳導演獎,,,,,,,,
2015,陳良侯,科幻驚悚,,空殼與複製人,2014南韓「富川奇幻影展」-富川奇幻影展創投現金獎,2014南韓「富川奇幻影展」-中國美迅影視傳媒現金獎,,,,,,,,
2012,練建宏,短片,,熱線1999,2014印度喀什米爾國際電影節-最佳影片獎,底特律三一國際影展最佳導演獎,,,,,,,,
2014,吳中天,短片,,四十三階,2014第19屆釜山影展-最佳國際短片獎,,,,,,,,,
2012,鄒維剛,短片,,慢吞吞小學,2014日本廣島國際電影節-最佳短片,,,,,,,,,
2012,陳駿霖,愛情喜劇,523萬(台北),明天記得愛上我,2013義大利都靈跨性別影展-評審團特別推薦獎,2013特拉維夫多元性別國際影展-榮譽劇情獎,,,,,,,,
2011,胡台麗,紀錄片,,讓靈魂回家,2013美國休士頓影展-影視製作族群與文化獎金牌獎,,,,,,,,,
2010,陳懷恩,紀錄片,,消遙遊,2013美國休士頓影展-影視製作成人教育類金牌獎,,,,,,,,,
2011,陳傳興,紀錄片,"2,080",如霧起時,2013美國休士頓影展-影視製作文化類白金獎,,,,,,,,,
2010,蔡旭晟,動畫片,,櫻時,第12屆日本動畫賞 公開招募作品金獎,,,,,,,,,
2011,林靖傑,紀錄片,,尋找背海的人,2013美國休士頓影展-影視製作藝術與文化類金牌獎,,,,,,,,,
2011,楊力州,紀錄片,,兩地,2013美國休士頓影展-電視製作教育類金牌獎,,,,,,,,,
2011,溫知儀,紀錄片,,朝向一首詩的完成,2013美國休士頓影展-影視製作藝術與文化類金牌獎,,,,,,,,,
2012,陳文彬,紀錄片,,南國日和,2013美國休士頓影展-劇情片白金獎,,,,,,,,,
2013,蔡明亮,劇情片,107萬(台北),郊遊,2013威尼斯國際影展-評審團大獎,2013愛沙尼亞塔林黑夜影展-評審團大獎,2013西班牙塞維亞歐洲影展-最佳導演獎,2014美國國家影評人協會-尚未在美發行電影獎。,2013杜拜國際影展-最佳導演獎,2013亞太影展-最佳男主角,最佳音效獎,,,
2012,沈可尚,紀錄片,46萬,築巢人,2013香港華語紀錄片節-短片類首獎,,,,,,,,,
2013,吳梓安,實驗片,,日常日長,2013巴黎實驗影展-首獎,,,,,,,,,
2013,洪士傑,動畫片,,懷錶,2013第11屆好萊塢國際學生影展創作大賽-最佳外語動畫片獎,,,,,,,,,
2012,謝文明,動畫片,,禮物,2013年第14屆美國「聖地牙哥亞洲影展」最佳動畫片（謝文明）,,,,,,,,,
2012,史明輝,動畫片,,寂寞碼頭,2013亞太影展-最佳短片（史明輝）,,,,,,,,,
2012,傅天余,劇情片,,黛比的幸福生活,2013日本沖繩國際影展-Place部門最佳影片大獎海人賞,,,,,,,,,
2012,錢人豪,懸疑/驚悚,800萬(台北),Z-108棄城,2013美國ITN獨立電影節-最佳影片,2013美國ITN獨立電影節-觀眾票選,2013美國ITN獨立電影節-最佳導演獎,,,,,,,
2012,華天灝,紀錄片,3000萬,不老騎士-歐兜邁環台日記,2013年紐約亞美國際影展-觀眾票選最佳紀錄片獎,2012年釜山國際影展-AND發行大獎,,,,,,,,
2013,,動畫獎,,庇主,美國第3屆紐約洛杉磯國際影展「最佳動畫獎」,,,,,,,,,
2011,林育賢,劇情片,8000萬,翻滾吧！阿信,2012年香港亞洲電影大獎-最佳男配角,,,,,,,,,
2010,魏德聖,劇情片,3.18億,賽德克‧巴萊,2012大阪亞洲電影節-觀眾票選獎,2012年華語電影傳媒大獎-最佳電影,,,,,,,,
2012,唐振瑜,紀錄片,,落番,2012年美國休士頓國際影展-文化類最佳紀錄片白金獎,,,,,,,,,
2011,連奕琦,劇情片,,命運化妝師,2012義大利亞州電影節-最佳女主角獎,,,,,,,,,
2012,鄭芬芬,劇情片,,熊熊愛上你,2012義大利亞州電影-最佳原創作品獎,,,,,,,,,
2011,李豐博、尹志文,劇情片,4500萬,殺手歐陽盆栽,2012年香港金像獎-最佳新演員獎,,,,,,,,,
2011,九把刀,劇情愛情,4.1億,那些年，我們一起追的女孩,2012年香港金像獎- 最佳兩岸華語電影獎,2012年華語電影傳媒大獎-最佳新導演獎(九把刀),2012年華語電影傳媒大獎-最佳新演員獎(柯震東),2012年華語電影傳媒大獎-觀眾票選最受矚目電影獎,2012年華語電影傳媒大獎-觀眾票選最受矚目表現獎(陳妍希),2012年紐約亞洲電影節- 亞洲新人獎（陳研希）,,,,
2011,陳宏一,劇情片,,消失打看,2012年瑞士佛瑞堡影展-評審團特別推薦獎,,,,,,,,,
2011,陳鈺杰,短片,,小偷,2012年日本東京短片節-亞洲國際競賽大賞,,,,,,,,,
,,,,疼惜天地,2012年日本東京短片節-停止!氣候暖化優秀獎,,,,,,,,,
,,,,主桌,2012年奈及利亞第9屆阿布加國際電影展-外國最佳短片獎,2012年奈及利亞第9屆阿布加國際電影展-評審金獎,,,,,,,,
2012,張榮吉,劇情片,5300萬,逆光飛翔,2012年釜山國際影展-最佳觀眾票選獎,2012年金馬國際影展-最佳新導演(張榮吉),2012年金馬國際影展-年度台灣傑出電影工作者(黃裕翔),2012年金馬國際影展-國際影評人費比西獎,2013年米蘭國際影展-最佳男主角(黃裕翔),,,,,
2012,楊雅?,劇情片,5600萬,女朋友男朋友,2012年金馬國際影展-最佳女主角(桂綸鎂),2012年金馬國際影展-觀眾票選年度電影,2012年亞太影展 -最佳女主角(桂綸鎂),,,,,,,
,,,,門,2012年日本廣島達馬國際電影節-評審員特賞星空,,,,,,,,,
2011,林書宇,劇情片,,星空,2012年德國國際兒童與青年觀眾影展-青少年電影競賽片獎,2012年德國國際兒童與青年觀眾影展-青少年電影獎,2012年亞太影展 -最佳攝影,,,,,,,
2014,"姜秀瓊,陳芯宜,何蔚庭,沈可尚",劇情片,,昨日的記憶,2012年德國曼漢姆國際影展-評審團特別獎,,,,,,,,,
,,,,退潮,美國蒙大拿影展-保育意識項目嘉勉,,,,,,,,,
,,,,鞦韆,東京國際動漫展-東京Big Sight獎(東京國際展覽中心獎),美國第44屆洪堡影展-最佳影片、最佳動畫,,,,,,,,
2010,張作驥,劇情片,660萬,當愛來的時候,第11屆華語電影傳媒大獎-最佳影片、最佳劇本、最佳新人,,,,,,,,,
,,,,我愛高跟鞋,香港華語紀錄片電影節-短片組冠軍,美國蒙大拿影展-動物議題項目第二名,,,,,,,,
2011,李啟源,劇情片,,河豚,日內瓦國際影展-最佳影評人獎、發行獎,,,,,,,,,
,,,,阿毛的鞋,北京全球華人影音創意大賽-非常短片類DV短片大獎,,,,,,,,,
2011,林孝謙,劇情片,,與愛別離,日本skip city國際影展-百萬首獎、導演獎、編劇獎,,,,,,,,,
2011,李靖惠,紀錄片?,,麵包情人,釜山國際影展-AND發行大獎,,,,,,,,,
2010,葉天倫,劇情片,1.4億,雞排英雄,關島國際影展-最佳劇情片,,,,,,,,,
2010,侯季然,劇情片,,有一天,新加坡國際影展-最佳攝影獎,,,,,,,,,
,,,,單飛,美國馬爾貝亞國際電影節-動畫影片類首獎,,,,,,,,,
2010,鍾孟宏,劇情片,,第四張畫,西班牙瓦拉多利國際影展-最佳攝影獎,法國南特影展-觀眾票選獎,第54屆亞太影展-最佳攝影獎,,,,,,,
,,,,聖與罪,第二屆澳門國際電影節-最佳紀錄片獎,墨西哥國際電影節-紀錄片金棕櫚獎,,,,,,,,
2010,"張榮貴,陳之任",動畫片,134萬,靠岸,第二屆澳門國際電影節-最佳動畫片獎,,,,,,,,,
2010,陳駿霖,喜劇劇情,2500萬,一頁台北,法國杜維爾亞洲影展-影展評審團獎,德國柏林影展-NEPAC最佳亞洲電影獎,西班牙巴塞隆納「亞洲電影節」-金杜禮安獎,2010美國德州電影節-最佳劇情片獎,2010年達拉斯亞洲電影節-最佳劇情長片獎,紐約亞美國際影展-觀眾票選最佳影片,,,,
,,,,我這樣愛你,香港亞洲電影投資會 Paris Project獎,,,,,,,,,
2009,鄭芬芬,愛情片,2600萬,聽說,大阪亞洲電影節-最受歡迎電影人氣大獎,,,,,,,,,
,,,,當傳統遇上現代,2010年第43屆休士頓國際影展-「族群與文化」類的白金牌獎,,,,,,,,,
,,,,我們,美國洛杉磯電影獎-記錄片類佳作,美國墨西哥國際影展-金棕櫚獎,,,,,,,,
2009,"蔡明亮,王琮",劇情片,400萬,臉,香港亞洲電影節-最佳服裝造型獎,香港亞洲電影節-最佳美術設計獎,,,,,,,,
,,,,遠方的故事,2010年第43屆休士頓國際影展-「自然與野生動物」類的白金牌獎,,,,,,,,,
,,,,走夢人,2010年法國克勒泰依女性影展-Canal+最佳短片創作獎,,,,,,,,,
,,動畫片,,番茄醬,2010年英國獨立製片影展-最佳動畫影片短片,,,,,,,,,
2009,鄭文堂,劇情片,,眼淚,羅馬第8屆「亞洲電影展」-最佳男主角獎,,,,,,,,,
2010,鈕承澤,劇情片,2.6億,艋舺,美國夏威夷國際影展-最佳亞洲影片,斯德哥爾摩影展-Telia電影獎,第54屆亞太影展-最佳藝術指導獎、最佳電影音樂獎,香港亞洲電影大獎-最佳新人獎,第11屆華語電影傳媒大獎-最佳導演,,,,,
2009,Chih-Yi WEN?,短片,,片刻暖和,第54屆亞太影展-最佳短片獎,,,,,,,,,
2010,程孝澤,劇情片,,近在咫尺,第二屆澳門國際電影節-最佳女主角獎,,,,,,,,,
,,,,H2O,第二屆澳門國際電影節-最佳導演新人獎,,,,,,,,,
2010,戴泰龍,劇情片,,彈簧床先生,第二屆澳門國際電影節-最佳影片獎,,,,,,,,,
2008,王金貴,劇情片,,人之島,2009 羅馬亞洲影展『Asian Film Festival 2009』最佳影片獎,,,,,,,,,
2008,程孝澤,劇情片,,渺渺,羅馬亞洲影展『Asian Film Festival 2009』-原創電影獎,,,,,,,,,
2014,戴立忍,劇情片,,不能沒有你,日本SKIP CITY國際電影節-最佳影片,南非德班影展-最佳影片,法國維祖爾亞洲影展-最佳影片金相機獎,,,,,,,
2008,鈕承澤,劇情片,,情非得已之生存之道,2008 鹿特丹影展「奈派克」最佳亞洲電影獎,,,,,,,,,
2008,李康生,劇情片,,幫幫我愛神,2008 香港國際影展亞洲電影大獎最佳攝影獎,,,,,,,,,
2008,陳芯宜,劇情片,,流浪神狗人,2008 柏林影展青年論壇導演單元德國每日鏡報讀者獎,2008 瑞士弗利堡國際影展青年評審團E-CHANGER獎,,,,,,,,
2008,林志儒,劇情片,,牆之魘,2007 第三十八屆印度國際影展最高獎項-金孔雀獎「亞洲、非洲暨拉丁美洲最佳影片獎」,,,,,,,,,
2007,周美玲,劇情片,1426萬,刺青,2007 柏林影展 入圍電影大觀(Panorama)單元 獲同志電影「泰迪熊獎」,,,,,,,,,
2007,吳米森,劇情片,,松鼠自殺事件,2007 第40屆休士頓影展 院線劇情片白金牌獎,,,,,,,,,
2007,李安,劇情片,2億7千2百萬,色戒,2007 第64屆義大利威尼斯影展-金獅獎,,,,,,,,,
2007,林靖傑,劇情片,,最遙遠的距離,2007 第64屆威尼斯影展影評人週獎,,,,,,,,,
2005,"石昌杰,段奕倫,林博良?",動畫片,,微笑的魚,2006第56屆柏林影展(Berlin International Film Festival)兒童單元特別獎,2006第51屆亞太影展 最佳動畫片,,,,,,,,
,程孝澤,,,數字拼圖,2006香港第四屆大中華大學生影視獎最佳導演,,,,,,,,,
,張乃云,,,她是我媽媽,2006韓國首爾女性影展(Women Film Festival in Seoul)紀錄片首獎,,,,,,,,,
2005,曹瑞原,劇情片,,青春蝴蝶孤戀花,2006印度Osian亞洲電影展 亞洲電影競賽優勝獎,,,,,,,,,
2005,鄭文堂,劇情片,,深海,2006 比利時獨立影展 競賽單元所有類別大獎(Grand Award of all Categories),2006 51屆亞太影展 陸奕靜獲最佳女配角,,,,,,,,
2005,林泰州,短片,,垂死造物哀歌,2006 俄羅斯海參威太平洋子午線電影節金貝殼獎,2006 Borges en Curt國際短片影展特別獎,,,,,,,,
,,,,嘜相害,2006金馬國際數位短片競賽 最佳台灣影片獎,,,,,,,,,
2004,馬君輔,動畫片,,樂生活,2006金馬國際數位短片競賽 最佳紀錄片獎,,,,,,,,,
,,,,黃屋手記,2006 法國南特影展 最佳紀錄片獎,,,,,,,,,
2005,蔡明亮,劇情片,2024萬,天邊一朵雲,2005第55屆德國柏林影展「最佳藝術貢獻銀熊獎」、「亞佛瑞德飽爾創新獎」、「費比西獎」,2005芝加哥國際影展 「金雨果獎」入圍,2005法國南特影展「最佳導演獎」、「男演員特殊貢獻獎」,2005西班牙奇幻影展「最佳影片獎」、「最佳男主角獎」,,,,,,
2004,徐輔軍,劇情片,,夢遊夏威夷,2005法國杜維爾影展「最佳影片金蓮花獎」、「國際影評人獎」,,,,,,,,,
2005,侯孝賢,劇情片,,最好的時光,2005坎城影展競賽單元「金棕櫚獎」入圍,2005羅馬亞洲影展,2005英國倫敦影展,2005第46屆希臘鐵撒隆尼卡影展導演傑出成就「金亞力山大獎」,2005日本東京影展導演黑澤明獎,,,,,
2004,許肇任,短片,,呼吸,2005 坎城影展坎城會外賽國際影評人週「柯達發現獎最佳短片」、「TV5青年評論」獎,2005第十六屆巴西聖保羅國際短片影展觀摩,2005西班牙奇幻影展最佳短片,,,,,,,
2004,周美玲,劇情片,,艷光四射歌舞團,2005 韓國第1屆「亞洲獨立製片影展」觀眾網路票選最佳電影,,,,,,,,,
2005,王明台,劇情片,,戀人,2005 義大利威尼斯影展作者之日單元最具潛力獎,,,,,,,,,
2004,林正盛,劇情片,,月光下，我記得,2005 亞太影展「最佳編劇」獎（林正盛）,「評審團特別獎」（楊貴媚),,,,,,,,
2005,王童,動畫片,553萬,紅孩兒決戰火焰山,2005 亞太影展「最佳動畫」單元,,,,,,,,,
2005,林見坪,短片,,小站,2005 第62屆威尼斯影展最佳短片銀獅獎,,,,,,,,,
2005,陳秀玉,短片,,那年夏天的浪聲,2005 日本亞洲海洋影展「評審團特別獎」,,,,,,,,,
2006,姚宏易,劇情片,,愛麗絲的鏡子,2005 南特影展競賽單元，導演青年觀眾票選獎,,,,,,,,,
2005,李家驊?,紀錄片,,25歲、國小二年級,2005 日本山形國際紀錄片影展亞洲千波萬波單元特別獎,,,,,,,,,
2003,"郭珍弟,簡偉斯?",紀錄片,,跳舞時代,2005 中美洲創作icaro電視電影觀摩展紀錄片單元「最佳外國紀錄片獎」、「最佳音效獎」,,,,,,,,,
2003,陳尚柏,動畫片,,飛鳥航道,2004年法國安錫動畫影展「發現台灣」觀摩單元,,,,,,,,,
2003,楊順清,劇情片,,台北二一,2004年第49屆亞太影展「最佳影片」獎,,,,,,,,,
2003,尹祺,劇情片,,黑狗來了,2004年第49屆亞太影展「最佳女配角」獎（林美秀）,,,,,,,,,
2003,王毓雅,劇情片,,飛躍情海,2004年日本福崗影展評審團大獎,,,,,,,,,
2003,李康生,劇情片,,不見,2004年第三十三屆荷蘭鹿特丹國際影展金虎獎、影評人獎、亞洲電影發展協會獎,2004年第六屆印度亞洲影展最佳影片、最佳女主角（陸弈靜）,2004年義大利羅馬亞洲影展最佳導演、最佳女主角獎,2004年中國第4屆華語電影傳媒大獎,2003 釜山國際影展 競賽單元 最高榮譽新潮流獎,第60屆威尼斯影展國際影評人費比西獎。,,,,
2002,湯湘竹,紀錄片,,山有多高,2003 第62屆皮巴蒂獎(peabody award),,,,,,,,,
,許慧如,,,雜菜記,2003 山形國際紀錄片影展 獎勵賞,,,,,,,,,
2003,蔡明亮,劇情片,202萬,不散,2003第四十屆金馬獎年度最佳台灣電影獎,2003第六十屆義大利威尼斯國際影展競賽單元費比西獎,2003第三十九屆美國芝加哥國際影展Golden Plaque獎,2003第四十八屆亞太影展評審團獎、最佳女配角獎（楊貴媚）國芝加哥國際影展Golden Plaque獎,2003法國南特三洲影展最佳導演獎（蔡明亮）、青年評審團獎,2005土耳其伊斯坦堡國際影展 「金鬱金香」最佳影片,,,,
2002,張作驥,劇情片,241萬8290,美麗時光,2003年第十六屆新加坡國際影展競賽單元首獎,2002年威尼斯影展競賽,,,,,,,,
2004,吳乙峰,紀錄片,1041萬,生命,2003日本山形國際紀錄片雙年展國際競賽單元優秀賞,2003法國南特影展觀眾票選獎,,,,,,,,
1994,蔡明亮,劇情片,,愛情萬歲,2002巴拉圭影展,第16屆法國南特影展最佳導演／男主角獎,,,,,,,,
2002,王明台,劇情片,,鹹豆漿,2002 南特三洲影展最佳男演員獎,,,,,,,,,
2002,何平,劇情片,7萬2780元,挖洞人,2002第五十二屆德國柏林國際影展「青年導演論壇」觀摩單元唐吉訶德獎,2002第四屆法國杜維爾亞洲影展最佳編劇獎（郭箏、何平）?,2002第四十七屆亞太影展最佳剪輯（顧曉芸）、最佳新進女演員（韋苓）、評審團特別獎,,,,,,,
2001,閻鴻亞,劇情片,,人間喜劇,2002年阿曼馬斯喀開特電影節「金匕首獎」,,,,,,,,,
2002,周晏子,劇情片,,二月十四,2002年休士頓影展「低成本最佳影片」金牌獎,,,,,,,,,
2001,蔡明亮,劇情,263萬6589元,你那邊幾點,2002年馬尼拉國際影展 最佳男主角、最佳影片大獎,2001第三十七屆芝加哥影展　銀雨果－評審團特別獎、最佳導演獎、評審團攝影特別獎,,,,,,,,
2001,林泰州,短片,,狂舞憂鬱,2002年第五十九屆義大利威尼斯影展義大利未來電影學會首部長片獎,,,,,,,,,
2002,洪維健,短片,,綠色玫瑰,2002年義大利另類影展 最佳影片獎,,,,,,,,,
2001,侯孝賢,劇情片,,千禧曼波,2001坎城影展 「技術獎」(杜篤之),2001第三十七屆芝加哥影展 銀雨果獎,2001第二十八屆比利時根特影展 最佳導演獎,,,,,,,
2000,徐立功、尹祺,劇情片,,夜奔,2001第四十六屆亞太影展 最佳音樂獎,,,,,,,,,
2001,林正盛,劇情片,,愛你愛我,2001年第五十一屆德國柏林影展 最佳導演獎、最佳新人獎,,,,,,,,,
2000,楊德昌,劇情片,,一一,2001第十五屆瑞士佛瑞堡影展 評審團大獎,2000坎城國際影展 最佳導演獎,,,,,,,,
2000,章蕙蘭,劇情片,,小百無禁忌,2001第十五屆瑞士佛瑞堡影展 新銳導演獎、最佳編劇,2000年亞太影展 評審團特別獎,,,,,,,,
2001,陳芯宜,劇情片,,我叫阿銘啦,2001第十五屆瑞士佛瑞堡影展 人權獎、教會評審團獎,,,,,,,,,
2000,李安,劇情片,2億,臥虎藏龍,2001第七十三屆奧斯卡影展　最佳外語片、最佳藝術指導、最佳攝影、最佳配樂,,,,,,,,,
2000,蕭雅全,劇情片,,命帶追逐,2001第二十屆溫哥華影展 龍虎榜最佳青年影片獎,,,,,,,,,
2000,張志勇,劇情片,,沙河悲歌,2000 亞太影展 最佳導演、最佳原創音樂獎,,,,,,,,,
1999,張作驥,劇情片,,黑暗之光,2000新加坡影展 最佳影片、評審團特別獎,,,,,,,,,
,,,,,,,,,,,,,,
2008年,,,$5.3億,海角七號,日本第四屆亞洲海洋電影節 首獎,馬來西亞第二屆吉隆坡國際電影節 最佳攝影,美國路易威登夏威夷影展 金蘭花獎 劇情片類首獎,法國2009費索爾亞洲國際影展 當代亞洲電影風貌的競賽片,,,,,,
2011年,,,4.72億 1億9802萬,賽德克.巴萊(上)太陽旗,,,,,,,,,,
2013年,,,4.28億,大尾鱸鰻,,,,,,,,,,
2015年,,,4.1億,我的少女時代,,,,,,,,,,
2011年,,,3.18億 1億3497萬,賽德克.巴萊(下)彩虹橋,,,,,,,,,,
2012年,,,3.17億,陣頭,,,,,,,,,,
2013年,,,3.1億,總舖師,,,,,,,,,,
2014年,,,2.6億,等一個人咖啡,,,,,,,,,,
2015年,,,2.5億,大囍臨門,,,,,,,,,,
2014年,,,2.1億,大稻埕,,,,,,,,,,
2016年,,,1.7億,大尾鱸鰻2,,,,,,,,,,
2012年,,,1.7億,愛,,,,,,,,,,
2012年,,,1.5億,犀利人妻最終回：幸福男·不難,,,,,,,,,,
2016年,,,1.3億,樓下的房客,,,,,,,,,,
2012年,,,1.2億,痞子英雄首部曲:全面開戰,,,,,,,,,,
